fund,strategy1,symbol,direction,trade_type,hedge_flag,ex_price,ex_qty,io_type,strategy2,connect_address,clientid,expect_result
steady_return,Covered_Call.SSE50,000001,1,0,0,11.76,300,0,default.manual,172.16.12.88:17103,pt1,True
steady_return,Covered_Call.SSE50,600000,-1,0,0,12.02,300,0,default.manual,172.16.12.88:17103,pt2,True
steady_return,Covered_Call.SSE50,IF1807,1,2,0,2.72,300,0,default.manual,172.16.12.88:17103,pt3,True
steady_return,Covered_Call.SSE50,IH1807,-1,3,0,11.76,300,0,default.manual,172.16.12.88:17103,pt4,True
steady_return,Covered_Call.SSE50,SR811,-1,2,0,12.02,300,0,default.manual,172.16.12.88:17103,pt5,True
steady_return,Covered_Call.SSE50,m1811,1,3,0,2.72,300,0,default.manual,172.16.12.88:17103,pt6,True
steady_return,Covered_Call.SSE50,m1812-C-3100,1,2,0,11.76,300,0,default.manual,172.16.12.88:17103,pt7,True
steady_return,Covered_Call.SSE50,m1905-P-2600,-1,3,0,12.02,300,0,default.manual,172.16.12.88:17103,pt8,True
steady_return,Covered_Call.SSE50,SR807C5300,-1,2,0,2.72,300,0,default.manual,172.16.12.88:17103,pt9,True
steady_return,Covered_Call.SSE50,m1905-P-3050,1,3,0,11.76,300,0,default.manual,172.16.12.88:17103,pt10,True
