strategy_name,so_name
AMACD_strategy,libAMACD_strategy.so 
AMASkew_strategy,libAMASkew_strategy.so 
BBreaker_strategy,libBBreaker_strategy.so 
BollingerBandReversion_strategy,libBollingerBandReversion_strategy.so 
BreakBandDync_strategy,libBreakBandDync_strategy.so 
breakbandinbar_strategy,libbreakbandinbar_strategy.so 
breakbandsl_strategy,libbreakbandsl_strategy.so 
breakband_strategy,libbreakband_strategy.so 
CCIMktRecg_strategy,libCCIMktRecg_strategy.so 
CCIOsc_strategy,libCCIOsc_strategy.so 
CCIRvs_strategy,libCCIRvs_strategy.so 
CCI_strategy,libCCI_strategy.so 
ChannelBreakIntraDay_strategy,libChannelBreakIntraDay_strategy.so 
ChannelBreak_strategy,libChannelBreak_strategy.so 
DMIdivergeIntraDay_strategy,libDMIdivergeIntraDay_strategy.so 
DMIdiverge_strategy,libDMIdiverge_strategy.so 
Donchian_strategy,libDonchian_strategy.so 
EMABollinger_strategy,libEMABollinger_strategy.so 
FollowTrendDync_strategy,libFollowTrendDync_strategy.so 
FollowTrendIntraDay_strategy,libFollowTrendIntraDay_strategy.so 
FollowTrend_strategy,libFollowTrend_strategy.so 
Hans_strategy,libHans_strategy.so 
head_shoulder_strategy,libhead_shoulder_strategy.so 
HighLowBandADX_strategy,libHighLowBandADX_strategy.so 
HighLowBandIntraDay_strategy,libHighLowBandIntraDay_strategy.so 
HighLowBand_strategy,libHighLowBand_strategy.so 
LinearRegSlope_strategy,libLinearRegSlope_strategy.so 
narrowbandbreak_strategy,libnarrowbandbreak_strategy.so 
narrow_sd_scl_strategy,libnarrow_sd_scl_strategy.so 
narrow_sd_strategy,libnarrow_sd_strategy.so 
Oneside_strategy,libOneside_strategy.so 
pairtrading_strategy,libpairtrading_strategy.so 
PriceVolRatio_strategy,libPriceVolRatio_strategy.so 
StkIntraDayStrategy,libstk_intra_day_strategy.so 
TrendFollowLinearRegNewEx_strategy,libTrdFlwLRNewEx_strategy.so 
TrendFollowLinearReg_strategy,libTrendFollowLR_strategy.so 
VolumeAccu_strategy,libVolumeAccu_strategy.so 
VolumeBreakthrough_strategy,libVolumeBreakthrough_strategy.so 
Zwilling_strategy,libZwilling_strategy.so 
